ParticipantID,ParticipantSex,ParticipantAge,MMS1,MMS2,MMS3,MMS4,MMS5rc,MMS6rc,MMS7,MMS8,MMS9rc,MMS10,MMS11,MMS12,MMS13,MMS14rc,MMS15rc,MMS16,MMS17,MMS18,MMS19,MMS20,MMS21,MMS22,MMS23,MMS24,MMS25rc,MMS26,MMS27rc,MMS28,MMS29,MMS30,MMS31,MMS32,MMS33,MMS34rc,MMS35,MMS36,MMS37,MMS38,MMS39,MMS40rc,MMS41,MMS42,MMS43,MMS44,MMS45,MMS46,MMS47,MMS48,MMS49,MMS50,MMS51,MMS52,MMS53,MMS54,MMS55,MMS56rc,MMS57rc,MMS58,MMS59,MMS60,MMS61,MMS62,MMS63,MMS64,MMS65,MMS66,MMS67,MMS68rc,MMS69,MMS70rc,MMS71,MMS72,MMS73,MMS74,MMS75rc,MMS76,MMS77,MMS78,MMS79
1,2,38,5,3,4,5,3,6,2,3,5,1,5,2,7,4,4,5,2,2,2,5,5,2,1,1,4,4,3,2,2,1,6,2,2,4,6,2,1,1,1,1,1,7,7,5,5,3,3,4,4,2,2,6,6,3,3,4,4,5,5,3,5,2,2,4,6,6,6,3,5,5,6,2,2,3,5,7,5,3,3
2,2,45,2,2,6,5,1,4,4,1,6,4,7,4,6,3,4,5,4,4,4,4,1,5,4,2,4,6,3,1,1,1,3,1,7,3,1,1,5,2,1,1,4,6,2,1,1,6,4,1,1,1,6,2,6,1,1,3,1,2,5,5,1,1,1,1,1,1,1,1,4,1,3,1,2,1,2,1,1,4,1
3,2,47,1,1,7,3,1,4,3,1,2,2,7,4,7,1,3,5,2,3,5,3,1,5,1,1,4,5,2,1,1,1,1,1,7,2,1,1,1,2,1,1,1,3,2,2,1,2,5,1,1,1,5,1,1,1,1,2,1,2,1,6,5,1,1,1, ,1,1,1,5,2,1,2,4,1,3,1,1,5,1
4,2,23,7,5,4,6,2,4,4,5,6,5,7,5,5,4,3,3,6,4,4,3,6,6,5,4,5,2,2,5,4,3,6,4,4,4,5,4,6,5,4,5,5,4,3,5,4,3,6,3,3,6,6,6,5,4,5,4,6,6,4,3,7,6,5,4,3,6,3,5,6,4,5,6,4,3,3,5,4,6,3
5,2,26,4,3,3,4,4,5,4,5,3,5,4,4,4,4,4,5,3,4,4,3,4,5,5,5,5,5,5,4,4,4,5,5,3,4,3,4,6,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,5,5,5,4,5,4,4,3,4,4,4,5,4,4,3,3,4,3,4,4,4,5,4,4,3
6,2,23,6,5,4,3,2,2,5,4,2,4,6,4,4,2,3,4,3,3,4,6,3,3,2,6,4,3,5,3,2,6,5,4,4,5,6,5,4,3,3,2,5,4,4,3,3,5,3,3,2,5,6,4,3,2,5,4,5,4,7,5,6,5,3,5,4,4,6,3,3,4,5,5,5,3,5,4,5,3,5
7,2,41,7,1,5,5,2,3,2,6,3,6,5,5,1,7,5,1,4,5,6,6,3,4,7,2,4,2,2,2,4,7,6,2,4,1,3,3,4,7,1,7,3,6,3,7,2,5,3,1,1,4,3,6,4,4,2,7,6,5,7,6,6,6,6,5,4,1,6,7,6,6,4,7,6,2,1,1,1,7,5
8,2,24,5,5,3,3,3,4,5,3,5,5,4,5,5,4,3,5,4,3,4,3,4,5,3,3,4,5,3,4,5,4,5,4,3,5,5,4,4,3,3,4,4,3,5,5,5,4,4,3,5,4,5,5,4,4,3,4,5,4,5,5,5,5,3,3,5,4,5,3,4,3,5,4,4,5,3,5,4,3,4
9,2,37,5,4,5,5,2,2,5,6,6,5,5,6,6,2,3,4,5,4,6,5,4,6,4,5,3,6,3,5,4,5,2,3,6,6,1,3,5,1,3,6,5,5,1,1,3,5,5,5,3,2,6,3,5,1,4,4,4,4,1,2,4,5,4,4,4,5,3,3,5,3,5,4,4,4,5,4,3,5,4
10,2,23,6,6,4,3,3,3,4,3,3,4,3,2,5,4,5,6,5,4,3,6,6,4,6,5,3,4,5,5,4,3,6,4,5,4,3,5,4,5,4,4,6,5,4,3,5,3,2,5,4,2,6,5,4,4,6,3,5,3,3,5,6,4,3,3,5,2,5,4,3,3,5,4,3,3,3,3,3,6,4
11,2,29,6,4,5,4,2,3,5,6,3,5,4,3,4,3,3,4,5,5,4,5,6,5,6,5,3,6,2,5,6,7,7,7,6,1,6,6,6,5,5,2,6,5,5,6,6,5,6,6,5,5,4,5,5,6,6,2,3,5,7,4,6,5,6,5,5,6,7,1,7,2,4,5,5,4,3,5,6,5,6
12,2,36,2,2,2,1,2,4,4,4,7,1,1,6,6,4,4,5,6,6,6,6,2,6,4,4,3,3,5,4,4,3,2,6,7,2,2,4,5,4,6,4,6,6,2,4,6,6,6,6,6,4,7,2,7,6,6,4,4,4,4,6,2,2,6,6,2,2,2,6,2,6,2,2,2,2,6,4,2,2,4
13,2,28,2,1,6,1,2,2,6,1,7,1,1,5,5,3,3,5,5,5,5,5,1,5,1,4,4,5,3,4,1,5,1,1,6,2,1,1,5,1,1,4,5,5,1,1,1,6,5,1,1,1,1,2,5,4,4,4,3,4,4,4,4,4,5,4,2,4,3,5,3,5,4,5,5,4,4,4,4,4,4
14,2,36,1,2,6,5,1,6,5,1,4,2,2,5,7,3,4,4,2,4,3,7,1,6,2,1,6,4,3,1,1,1,1,1,7,6,1,1,6,1,1,4,5,6,1,1,5,4,5,1,1,1,6,1,6,1,2,2,1,1,2,6,3,1,3,1,1,1,2,2,1,4,2,5,1,2,5,1,3,1,1
15,2,28,1,1,6,1,2,3,6,1,7,1,1,5,5,7,7,6,4,5,5,5,1,5,3,1,7,6,2,4,1,5,1,1,5,3,4,4,4,3,4,4,5,6,1,1,1,6,4,1,1,1,5,1,5,4,3,5,4,4,4,4,4,4,4,4,3,3,5,3,4,4,3,5,4,4,4,4,4,3,5
16,2,46,1,1,2,1,1,4,1,1,5,1,7,1,5,7,7,5,1,1,1,1,7,1,3,1,1,2,1,1,1,1,1,1,7,7,1,1,4,1,1,1,7,1,7,1,1,5,4,1,1,1,4,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,7,1,1,1,1,6,1,1,1,1
17,2,30,1,1,6,4,1,1,5,1,7,1,7,2,7,1,2,7,4,1,3,1,1,7,1,1,7,5,1,1,1,1,1,1,7,1,1,1,7,1,1,1,5,2,1,1,1,3,1,1,1,1,6,5,5,1,1,2,1,1,5,6,1,1,1,1,1,1,1,2,2,2,1,5,1,1,2,1,1,1,1
18,2,40,1,1,7,1,1,1,1,1,7,1,7,1,7,2,5,6,1,4,1,1,1,3,1,1,1,1,2,1,1,1,1,1,7,7,1,1,1,1,1,2,5,7,1,1,1,1,1,1,1,1,7,1,6,1,1,1,1,1,7,3,1,1,1,1,1,1,1,1,5,7,1,1,1,1,7,1,1,1,1
19,2,51,1,1,6,5,1,4,5,1,7,1,1,6,7,4,7,7,1,4,5,7,1,4,1,1,4,6,4,1,1,1,1,1,7,4,1,1,1,1,1,7,4,7,1,1,1,1,1,1,1,1,7,1,5,1,1,7,7,1,1,5,1,1,1,1,1,1,1,4,1,7,4,3,1,1,7,1,1,1,1
20,2,28,2,1,6,2,2,2,7,1,7,1,1,6,6,4,3,5,5,5,6,6,1,5,5,1,6,1,7,4,1,1,1,5,5,3,1,4,4,3,4,3,6,6,1,1,1,1,4,4,4,5,6,1,5,4,4,4,3,5,4,4,5,5,5,3,3,3,5,4,4,5,3,5,4,4,4,4,4,3,5
21,2,59,1,5,6,4,2,5,2,2,5,2,6,2,4,3,3,6,2,1,3,2,2,4,6,2,4,6,6,2,5,2,2,2,7,4,2,1,4,2,2,3,2,2,2,4,2,2,2,2,1,1,3,2,4,2,2,2,2,2,2,5,5,2,2,2,2,2,2,4,2,6,2,2,2,2,6,1,2,2,1
22,2,66,1,1,6,5,2,2,2,1,4,1,6,6,6,2,4,5,2,2,2,6,1,7,4,1,2,6,4,2,2,2,1,1,7,4,4,2,6,4,1,1,5,7,1,4,1,1,1,1,1,1,7,4,6,4,1,1,1,2,1,7,2,2,2,2,1,1,4,1,5,1,2,4,1,1,7,1,1,7,1
23,2,37,1,1,7,1,1,1,7,1,7,1,7,1,7,7,1,7,5,4,6,5,1,5,3,5,5,7,7,5,5,5,6,5,7,7,3,5,7,1,1,1,6,7,1,1,1,6,6,1,1,6,7,1,6,6,6,1,1,1,6,7,1,1,7,7,1,6,6,2,6,7,1,1,6,6,7,6,1,6,6
24,2,34,1,1,6,7,1,2,4,1,1,1,4,5,7,4,3,7,5,6,5,7,1,7,5,3,3,7,4,1,3,7,7,7,7,1,4,2,6,2,6,6,7,7,1,2,1,7,3,1,5,1,7,1,5,2,6,2,3,5,1,4,5,4,1,1,1,2,1,2,1,3,5,7,1,3,1,1,1,1,1
25,2,28,5,1,7,5,1,4,6,1,4,1,6,6,6,2,3,1,3,6,2,5,1,5,2,1,7,6,6,1,1,1,1,1,6,4,1,1,5,1,1,7,4,6,1,1,4,1,4,1,4,1,7,1,5,1,1,1,7,1,1,6,1,1,1,3,1,1,1,7,4,7,1,5,4,4,7,1,1,1,1
26,2,23,1,5,6,1,2,4,5,1,6,3,6,4,7,1,3,6,2,4,5,4,1,6,1,2,2,6,5,2,2,4,5,2,7,2,1,2,5,1,2,2,6,4,2,1,4,5,5,2,5,2,5,3,5,1,2,4,3,2,7,6,1,1,1,1,1,1,5,2,2,4,2,5,7,1,2,1,1,4,1
27,2,48,2,1,7,5,1,3,6,1,7,1,7,6,7,2,2,3,1,1,1,5,1,5,3,1,7,7,3,1,1,1,1,1,7,2,1,1,5,1,1,7,1,7,1,1,1,2,2,1,1,1,7,1,5,1,1,2,2,1,3,5,2,1,1,1,1,1,1,2,1,3,1,5,1,1,1,2,1,1,1
28,2,50,1,1,7,4,1,1,3,1,7,1,7,1,7,7,5,7,1,1,7,5,1,7,1,1,1,7,4,1,1,1,4,1,7,6,1,1,7,4,1,7,2,4,1,4,1,4,4,7,1,1,4,7,7,1,1,1,4,1,1,7,2,1,1,1,2,4,6,4,1,1,5,6,1,1,2,1,1,4,1
29,2,36,2,1,6,5,1,3,4,1,7,1,6,4,7,6,3,6,6,5,6,7,1,7,5,5,4,6,5,1,5,5,1,4,7,5,1,1,7,4,5,7,5,7,1,6,6,7,7,1,4,2,7,4,4,2,2,2,5,2,2,4,5,2,2,6,5,5,3,3,2,3,2,2,2,2,3,6, ,4,5
30,2,34,1,1,4,4,3,4,4,1,4,1,7,4,7,1,4,7,5,4,4,4,1,7,5,3,5,4,1,3,1,4,2,4,7,3,1,3,5,3,1,3,4,7,2,3,2,4,4,2,1,1,7,2,4,1,3,2,5,1,1,7,3,1,2,1,3,2,2,4,3,3,3,5,1,1,3,3,1,2,2
31,2,50,1,1,6,1,2,2,6,1,7,1,7,2,7,7,7,1,6,1,7,6,1,7,1,1,1,7,1,1,1,1,6,1,7,1,1,1,7,1,1,1,4,7,6,1,1,7,1,1,1,1,7,1,7,1,1,1,1,1,4,7,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,1,1,5,1
32,2,53,2,2,6,5,4,4,2,2,7,1,4,2,6,3,6,6,2,6,5,5,1,2,4,2,6,6,4,2,2,2,1,2,7,5,2,2,6,2,2,4,6,2,1,2,2,5,5,2,2,2,2,2,6,2,2,2,6,2,6,7,2,2,2,2,2,2,2,6,5,6,5,6,2,2,2,2,2,2,2
33,2,38,1,1,6,2,1,4,4,1,4,1,5,4,7,1,2,5,1,2,5,1,1,7,1,1,7,7,2,1,4,1,1,1,7,3,1,1,6,5,1,4,2,5,1,5,2,1,5,1,1,1,6,5,5,1,1,1,1,2,5,6,5,1,2,1,4,1,6,3,5,3,3,5,5,5,3,2,1,1,1
34,2,23,1,1,7,1,1,1,4,1,7,1,7,4,7,1,7,4,4,6,6,6,1,7,1,4,4,4,1,4,1,1,1,1,7,1,1,1,4,1,1,2,6,6,1,1,1,5,1,1,1,1,6,1,4,1,1,3,1,1,4,4,1,1,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1
35,2,42,2,4,7,5,1,2,6,1,4,4,7,1,6,3,2,4,2,3,4,4,1,2,1,1,4,7,4,1,4,1,1,4,5,4,1,1,5,1,1,4,3,4,1,1,4,1,4,3,1,1,4,1,4,1,1,1,1,4,4,4,4,4,1,1,1,1,1,4,4,4,4,5,4,5,4,3,4,4,1
36,2,61,2,5,5,2,1,4,6,1,7,1,6,3,7,6,5,5,2,3,6,7,1,6,2,2,4,7,2,2,2,2,2,5,6,3,2,2,3,2,2,6,6,5,1,3,2,5,6,3,2,2,5,5,7,2,2,2,3,2,7,6,5,2,3,2,2,2,5,2,6,3,2,2,6,3,4,2,2,3,2
37,2,49,4,2,6,5,2,4,5,2,3,1,4,5,6,3,2,4,4,6,6,3,1,4,5,3,4,6,6,2,5,2,2,4,7,4,1,1,6,1,1,2,2,7,2,2,4,2,6,2,4,2,7,2,5,1,1,2,3,3,4,6,2,5,4,2,2,2,7,3,5,6,3,4,1,6,4,2,2,4,1
38,2,36,2,2,6,4,2,2,7,4,3,2,5,5,6,1,5,7,6,7,7,7,5,6,4,5,7,7,4,2,4,2,4,2,7,5,3,2,7,1,3,3,7,5,3,2,1,5,5,1,1,2,4,4,7,3,3,2,6,2,5,6,2,1,4,1,1,1,7,2,3,4,2,1,2,5,6,3,1,6,2
39,2,33,3,2,6,7,1,1,2,1,6,1,6,3,7,4,3,2,2,5,6,6,2,6,2,2,4,6,6,2,6,2,2,2,6,2,2,2,6,2,2,6,4,6,1,1,3,2,3,1,2,2,5,6,6,1,2,2,3,1,7,6,2,2,3,2,2,5,2,2,5,3,6,5,4,2,3,4,2,2,2
40,2,27,2,1,6,6,2,1,6,6,2,1,7,7,7,1,1,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,7,7,1,7,7,7,7,7,1,7,7,6,7,7,7,6,6,7,7,6,7,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,2,6,2,6,6,6,6,2,6,6,6,6
41,2,53,4,2,5,5,1,5,3,1,5,1,7,2,6,2,3,4,2,5,5,4,1,6,3,2,4,5,4,1,5,1,2,2,6,3,2,2,4,1,2,3,2,5,2,1,3,2,4,1,1,2,3,2,4,2,2,2,1,3,6,4,1,1,2,1,1,2,2,2,3,5,2,3,4,3,4,2,3,2,1
42,2,67,1,1,6,5,1,2,4,7,5,7,6,2,6,1,2,7,1,2,1,2,1,4,4,1,4,5,1,1,1,1,1,1,7,2,1,1,2,4,1,1,6,2,1,4,1,2,5,7,1,1,3,1,5,1,1,1,2,1,1,6,4,1,1,1,4,2,3,2,1,4,1,5,1,1,2,1,1,4,1
43,2,32,5,3,5,5,2,3,5,6,3,6,6,5,5,2,3,6,5,6,6,5,5,6,6,6,5,5,3,6,6,6,6,5,6,1,7,7,6,6,7,3,5,6,5,5,6,6,5,6,6,6,5,6,5,6, ,3,2,7,6,7,6,7,7,6,6,6,7,3,5,2,6,7,7,6,1,6,6,7,6
44,2,33,1,1,7,5,1,1,4,1,3,1,7,1,7,1,2,6,2,1,1,4,1,4,1,1,7,6,7,1,1,1,1,1,6,3,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,6,2,2,1,1,2,1,1,4,5,1,1,1,1,1,1,1,1,1,7,1,1,1,1,2,1,1,1,1
45,2,25,3,2,6,5,1,2,5,2,2,2,6,4,6,4,3,4,4,4,4,6,2,6,5,4,5,6,4,4,4,3,2,4,6,3,2,2,4,2,4,4,4,6,2,4,4,4,4,4,3,2,6,4,5,3,4,3,4,4,3,5,4,4,3,3,4,2,4,3,4,3,4,5,2,3,3,3,4,3,4
46,2,46,5,1,6,4,3,2,5,4,4,5,6,2,7,2,2,7,5,4,4,5,4,4,5,1,6,4,5,1,2,1,2,3,7,3,1,1,4,2,1,5,4,5,5,3,2,3,5,4,2,2,2,5,6,5,6,3,1,4,5,5,5,2,1,2,1,2,4,3,4,3,3,6,2,3,4,1,2,3,1
47,2,29,2,2,6,2,2,3,4,2,5,5,6,5,5,3,3,5,3,2,5,4,2,5,5,4,3,5,3,2,3,2,4,2,6,2,2,2,5,4,3,2,3,4,3,3,5,2,3,5,6,2,6,1,5,2,4,3,4,5,5,4,6,4,5,5,6,5,4,3,4,5,4,4,3,3,4,3,5,3,2
48,2,54,1,1,6,2,1,2,1,1,7,1,7,1,5,4,1,6,5,1,7,1,1,1,1,1, ,5,3,5,5,5,5,5,7,5,1,4,7,1,1,4,6,6,1,1,6,4,6,6,4,6,6,6,6,1,1,2,7,4,1,1,1,1,1,1,1,1,1,2,6,7,1,1,1,1,7,1,1,1,1
49,2,32,2,2,6,1,2,6,2,1,6,1,6,4,6,2,6,6,2,2,5,2,2,5,2,2,4,6,4,2,2,2,2,6,6,3,2,4,5,1,2,2,5,5,2,1,2,4,5,2,2,2,5,5,5,2,2,3,3,2,5,5,5,2,2,2,2,4,5,2,4,2,2,5,4,2,5,2,2,5,2
50,2,41,2,1,5,6,3,4,1,1,4,1,4,1,7,2,4,7,4,6,7,4,3,2,1,1,7,3,4,1,4,1,2,2,7,4,1,1,3,3,1,2,4,6,1,3,4,3,4,3,1,3,6,4,1,1,2,4,1,2,3,7,3,2,4,3,1,3,4,1,6,4,6,7,3,2,7,1,1,1,2
51,2,24,1,1,7,1,1,7,7,1,1,1,7,7,7,2,1,7,7,7,7,7,1,7,1,7,1,7,1,1,4,4,1,7,4,1,1,1,5,1,1,1,7,7,1,1,1,7,7,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,7,4,7,1,1,1,1,1,1,1,7,1
52,2,55,1,1,5,1,2,3,2,1,5,2,7,5,6,4,3,4,3,3,3,5,4,4,1,1,5,5,5,1,1,4,2,4,7,3,1,1,5,4,1,1,5,4,1,4,1,5,3,3,1,1,5,1,4,1,4,2,1,4,1,3,4,1,4,1,1,3,4,4,1,3,1,1,1,1,3,1,1,4,1
53,2,26,1,1,7,5,1,2,5,1,2,1,7,4,6,3,2,3,5,3,5,3,1,7,3,1,4,5,1,1,3,1,1,6,7,1,1,1,3,2,1,1,6,5,1,2,5,7,5,5,2,1,7,5,2,1,1,1,1,2,1,2,1,1,1,3,1,2,5,1,5,2,1,6,1,2,2,2,1,5,1
54,2,32,6,6,6,6,2,2,6,6,6,2,6,6,6,2,2,6,6,6,6,6,3,5,2,2,6,2,3,2,5,1,5,5,6,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,2,2,6,6,6,5,3,4,4,1,1,5,4,4,3,6,5,5,5,2,6,3,5,2
55,2,29,7,3,6,5,2,2,5,2,4,3,6,5,7,3,3,6,5,5,6,5,2,6,5,3,3,5,6,5,5,3,2,5,6,2,2,5,6,3,3,5,5,5,2,3,5,5,6,3,3,5,5,5,6,3,3,5,2,3,3,6,3,3,5,5,3,3,6,2,5,5,6,5,3,3,5,2,3,3,6
56,2,72,1,1,7,6,1,4,1,1,7,1,7,1,7,1,4,5,1,4,2,4,1,4,1,1,1,4,4,1,4,1,1,1,7,7,1,1,4,1,1,4,4,4,1,1,4,1,1,1,1,1,4,4,4,1,1,3,1,1,1,7,1,1,3,1,1,1,4,1,4,4,5,3,1,1,4,1,1,1,1
57,2,41,2,1,5,7,1,1,4,1,1,1,7,4,7,1,1,3,2,2,3,4,1,5,5,2,3,4,2,1,2,2,3,2,6,1,1,1,3,1,1,7,1,6,1,1,2,1,6,1,1,1,6,4,3,1,1,7,7,1,2,4,2,2,2,2,2,1,1,7,1,7,5,7,1,1,1,1,1,1,1
58,2,40,4,5,5,3,1,4,2,1,3,4,7,4,6,3,2,5,1,3,5,3,1,3,1,1,4,4,1,1,1,1,5,1,5,3,3,3,3,1,1,1,1,4,5,1,1,1,5,1,1,1,4,2,5,1,1,4,1,1,5,5,4,1,1,1,1,4,3,4,3,1,1,5,1,1,1,1,1,5,1
59,2,19,1,1,1,1,1,7,1,1,7,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,6,7,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1
60,2,23,1,7,2,2,2,1,2,3,6,1,6,2,5,2,2,7,6,4,5,2,2,1,5,6,4,6,1,5,2,7,5,7,6,3,1,3,1,1,1,1,7,3,5,1,1,7,5,4,1,4,6,1,6,1,1,5,1,1,6,7,2,1,1,5,1,1,7,1,3,1,2,2,5,1,6,1,1,6,5
61,2,36,1,1,7,5,1,4,5,1,7,1,7,3,7,3,6,5,3,4,7,5,1,7,3,1,6,7,7,1,2,1,1,1,7,6,1,1,7,3,1,3,5,7,1,3,5,2,6,2,4,1,7,5,7,2,1,1,1,1,3,7,3,1,5,1,2,1,6,1,1,3,2,2,1,1,5,2,1,4,1
62,2,41,1,1,6,1,1,4,5,1,7,1,5,4,7,1,3,7,1,6,6,5,1,7,5,1,4,6,1,3,4,1,6,3,7,3,1,1,5,1,1,1,7,7,4,2,3,1,5,4,1,4,7,1,7,1,5,3,1,5,3,7,5,1,1,1,1,5, ,1,5,1,2,1,1,5,1,3,1,7,1
63,2,28,1,2,6,3,1,4,2,1,3,1,5,2,6,1,3,6,5,3,5,4,1,6,1,1,7,3,7,1,1,1,1,1,5,3,1,1,4,1,1,7,5,6,1,1,1,1,5,1,1,1,5,1,5,1,1,7,7,1,1,5,1,1,1,1,1,1,4,3,5,5,2,2,1,1,3,1,1,6,1
64,2,62,2,3,7,4,1,1,4,2,2,4,6,2,7,2,1,4,1,2,2,4,1,7,4,1,7,5,2,1,2,1,2,1,7,1,1,1,6,4,1,1,2,6,1,4,4,1,2,1,1,1,6,4,1,1,1,2,1,1,2,4,2,1,1,4,4,1,1,1,4,2,4,7,1,1,2,1,1,4,1
65,2,35,4,3,5,5,4,3,6,4,4,5,6,4,5,2,3,4,5,6,6,5,5,6,5,6,4,5,2,7,5,6,4,5,6,1,5,6,4,5,6,3,6,5,6,7,5,6,7,5,6,5,5,6,7,5,7,4,3,6,7,4,6,7,4,5,4,6,4,3,6,2,7,6,5,5,2,7,6,5,5
